                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.00615,                0.66077,                0.97715,                0.18713,               0.007822,               0.007822,               0.007822
                     69,                0.00599,                0.66147,                0.97701,                0.18714,               0.007789,               0.007789,               0.007789
                     70,                0.00579,                0.66133,                 0.9766,                0.18716,               0.007756,               0.007756,               0.007756
                     71,                 0.0057,                0.66147,                0.97673,                0.18717,               0.007723,               0.007723,               0.007723
                     72,                0.00605,                 0.6623,                0.97646,                0.18717,                0.00769,                0.00769,                0.00769
                     73,                 0.0059,                0.66133,                0.97701,                0.18717,               0.007657,               0.007657,               0.007657
                     74,                0.00576,                0.66272,                0.97701,                0.18717,               0.007624,               0.007624,               0.007624
                     75,                0.00541,                0.66369,                0.97701,                0.18717,               0.007591,               0.007591,               0.007591
                     76,                 0.0052,                0.66397,                0.97646,                 0.1872,               0.007558,               0.007558,               0.007558
                     77,                0.00473,                0.66411,                0.97673,                0.18721,               0.007525,               0.007525,               0.007525
                     78,                0.00528,                0.66342,                0.97687,                0.18721,               0.007492,               0.007492,               0.007492
                     79,                0.00597,                0.66342,                0.97646,                 0.1872,               0.007459,               0.007459,               0.007459
